Open,High,Low,Close,WAP,No. of Shares,No. of Trades,Total Turnover,Deliverable Quantity,% Deli. Qty to Traded Qty,Spread H-L,Spread C-O
45.0,52.5,45.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,5.0
50.0,57.5,50.0,52.5,0.0,0.0,0.0,0.0,0.0,0.0,7.5,2.5
47.5,52.5,45.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,-2.5
45.0,45.0,32.5,37.5,0.0,0.0,0.0,0.0,0.0,0.0,12.5,-7.5
40.0,47.5,40.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,5.0
40.0,45.0,40.0,42.5,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.5
42.5,45.0,40.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,-2.5
40.0,45.0,40.0,42.5,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.5
40.0,42.5,40.0,42.5,0.0,0.0,0.0,0.0,0.0,0.0,2.5,2.5
37.5,42.5,37.5,40.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.5
38.75,42.5,38.75,40.0,0.0,0.0,0.0,0.0,0.0,0.0,3.75,1.25
